Chemical Name,SMILES,Radical Name,Enthalpy,Activation Energy,k_value,Temperature,Bond Dissociation Energy,Chemical Group,Reaction Type/Pathway,PH,No,Resource:
trans-CH3CH=CHCH3,C/C=C/C,sec-RO2*,-$12.90,51.60,0.50,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
trans-CH3CH=CHCH3,C/C=C/C,tert-RO2*,-$6.00,54.60,0.20,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH2=CHCH2CH3,C=CCC,RO2*,-$28.90,45.10,1.70,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH2=CHCH2CH3,C=CCC,sec-RO2*,-$24.70,46.80,0.90,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH2=CHCH2CH3,C=CCC,tert-RO2*,-$17.80,49.60,0.30,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH2=CHCH(CH3)2,C=CC(C)C,RO2*,-$33.60,43.20,1.70,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH2=CHCH(CH3)2,C=CC(C)C,sec-RO2*,-$30.10,44.60,1.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH2=CHCH(CH3)2,C=CC(C)C,tert-RO2*,-$23.20,47.40,0.40,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH3CH=C(CH3)2,CC=C(C)C,RO2*,-$20.80,48.30,1.60,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH3CH=C(CH3)2,CC=C(C)C,sec-RO2*,-$17.30,49.80,0.90,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH3CH=C(CH3)2,CC=C(C)C,tert-RO2*,-$10.40,52.70,0.30,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(CH3)2C=C(CH3)2,CC(C)=C(C)C,RO2*,-$20.30,48.60,2.80,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(CH3)2C=C(CH3)2,CC(C)=C(C)C,sec-RO2*,-$16.80,50.10,1.60,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(CH3)2C=C(CH3)2,CC(C)=C(C)C,tert-RO2*,-$9.90,52.90,0.60,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C5H8,C1=CCCC1,RO2*,-$30.80,44.30,45.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C5H8,C1=CCCC1,sec-RO2*,-$27.30,45.70,27.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C5H8,C1=CCCC1,tert-RO2*,-$20.40,48.50,10.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C6H10,C1=CCCCC1,sec-RO2*,-$28.20,45.40,30.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C6H10,C1=CCCCC1,tert-RO2*,-$21.30,48.10,11.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C6H10,C1=CCCCC1,RO2*,-$31.70,44.00,50.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
Cyclopentadiene,C1=CCC=C1,RO2*,-$71.80,29.40,5000.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
Cyclopentadiene,C1=CCC=C1,sec-RO2*,-$68.30,30.60,3200.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
Cyclopentadiene,C1=CCC=C1,tert-RO2*,-$61.40,33.00,1300.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
"1,3-Cyclohexadiene",C1=CCCC=C1,RO2*,-$63.60,32.20,3500.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
"1,3-Cyclohexadiene",C1=CCCC=C1,sec-RO2*,-$60.10,33.40,2300.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
"1,3-Cyclohexadiene",C1=CCCC=C1,tert-RO2*,-$53.20,35.90,930.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH3,Cc1ccccc1,RO2*,-$0.80,48.10,0.86,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH3,Cc1ccccc1,sec-RO2*,$2.70,49.70,0.48,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH3,Cc1ccccc1,tert-RO2*,$9.60,52.80,0.16,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
2-CH3C6H5CH3,Cc1ccccc1C,RO2*,$1.90,49.30,1.11,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
2-CH3C6H5CH3,Cc1ccccc1C,sec-RO2*,$5.40,50.70,0.67,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
2-CH3C6H5CH3,Cc1ccccc1C,tert-RO2*,$12.30,53.90,0.21,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CH3C6H4CH3,Cc1ccc(C)cc1,RO2*,-$3.60,46.80,2.74,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CH3C6H4CH3,Cc1ccc(C)cc1,sec-RO2*,-$0.10,48.30,1.59,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CH3C6H4CH3,Cc1ccc(C)cc1,tert-RO2*,$6.80,51.40,0.52,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CH3OC6H4CH3,COc1ccc(C)cc1,RO2*,-$3.80,46.70,1.42,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CH3OC6H4CH3,COc1ccc(C)cc1,sec-RO2*,-$0.30,48.20,0.83,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CH3OC6H4CH3,COc1ccc(C)cc1,tert-RO2*,$6.60,51.30,0.27,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-(CH3)3CC6H4CH3,Cc1ccc(C(C)(C)C)cc1,RO2*,-$1.90,47.50,1.06,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-(CH3)3CC6H4CH3,Cc1ccc(C(C)(C)C)cc1,sec-RO2*,$1.60,49.00,0.62,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-(CH3)3CC6H4CH3,Cc1ccc(C(C)(C)C)cc1,tert-RO2*,$8.50,52.20,0.19,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-ClC6H4CH3,Cc1ccc(Cl)cc1,RO2*,-$1.70,47.60,1.02,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-ClC6H4CH3,Cc1ccc(Cl)cc1,sec-RO2*,$1.80,49.10,0.60,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-ClC6H4CH3,Cc1ccc(Cl)cc1,tert-RO2*,$8.70,52.20,0.19,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CNC6H4CH3,Cc1ccc(C#N)cc1,RO2*,-$7.10,45.20,2.44,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CNC6H4CH3,Cc1ccc(C#N)cc1,sec-RO2*,-$3.60,46.80,1.37,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CNC6H4CH3,Cc1ccc(C#N)cc1,tert-RO2*,$3.30,49.80,0.46,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-NO2C6H4CH3,Cc1ccc([N+](=O)[O-])cc1,RO2*,$0.50,48.60,0.71,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-NO2C6H4CH3,Cc1ccc([N+](=O)[O-])cc1,sec-RO2*,$4.00,50.10,0.42,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-NO2C6H4CH3,Cc1ccc([N+](=O)[O-])cc1,tert-RO2*,$10.90,53.30,0.13,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH3,CCc1ccccc1,RO2*,-$12.00,43.10,3.47,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH3,CCc1ccccc1,sec-RO2*,-$8.50,44.60,2.02,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH3,CCc1ccccc1,tert-RO2*,-$1.60,47.60,0.68,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH(CH3)2,CC(C)c1ccccc1,RO2*,-$18.40,40.40,4.60,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH(CH3)2,CC(C)c1ccccc1,sec-RO2*,-$14.90,41.90,2.68,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH(CH3)2,CC(C)c1ccccc1,tert-RO2*,-$8.00,44.80,0.94,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)2CH2,c1ccc(Cc2ccccc2)cc1,RO2*,-$19.00,40.20,9.89,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)2CH2,c1ccc(Cc2ccccc2)cc1,sec-RO2*,-$15.50,41.70,5.75,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)2CH2,c1ccc(Cc2ccccc2)cc1,tert-RO2*,-$8.60,44.60,2.02,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)2CHCH3,CC(c1ccccc1)c1ccccc1,RO2*,-$24.80,37.80,11.81,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)2CHCH3,CC(c1ccccc1)c1ccccc1,sec-RO2*,-$21.30,39.20,7.10,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)2CHCH3,CC(c1ccccc1)c1ccccc1,tert-RO2*,-$14.40,42.10,2.50,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH2C6H5,c1ccc(CCc2ccccc2)cc1,RO2*,-$12.80,42.80,7.74,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH2C6H5,c1ccc(CCc2ccccc2)cc1,sec-RO2*,-$9.30,44.30,4.50,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH2C6H5,c1ccc(CCc2ccccc2)cc1,tert-RO2*,-$2.40,47.30,1.52,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)3CH,c1ccc(C(c2ccccc2)c2ccccc2)cc1,RO2*,-$26.20,37.30,14.10,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)3CH,c1ccc(C(c2ccccc2)c2ccccc2)cc1,sec-RO2*,-$22.70,38.70,8.51,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)3CH,c1ccc(C(c2ccccc2)c2ccccc2)cc1,tert-RO2*,-$15.80,41.50,3.10,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH=CH2,C=CCc1ccccc1,RO2*,-$26.40,37.20,29.20,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH=CH2,C=CCc1ccccc1,sec-RO2*,-$22.90,38.60,17.60,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH=CH2,C=CCc1ccccc1,tert-RO2*,-$16.00,41.40,6.41,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
Indane,c1ccc2c(c1)CCC2,RO2*,-$14.20,42.40,48.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
Indane,c1ccc2c(c1)CCC2,sec-RO2*,-$10.70,43.70,27.90,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
Indane,c1ccc2c(c1)CCC2,tert-RO2*,-$3.80,46.70,9.50,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
Tetraline,c1ccc2c(c1)CCCC2,RO2*,-$20.00,39.70,240.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
Tetraline,c1ccc2c(c1)CCCC2,sec-RO2*,-$16.50,41.20,140.00,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
Tetraline,c1ccc2c(c1)CCCC2,tert-RO2*,-$9.60,44.10,48.40,333.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH3(CH2)3CH3,CCCCC,RO2*,$34.30,60.30,8.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH3(CH2)3CH3,CCCCC,sec-RO2*,$37.80,62.20,4.50,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH3(CH2)3CH3,CCCCC,tert-RO2*,$44.70,65.80,1.50,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(CH3)2CHCH2CH3,CCC(C)C,RO2*,$23.20,54.80,7.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(CH3)2CHCH2CH3,CCC(C)C,sec-RO2*,$26.70,56.50,4.20,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(CH3)2CHCH2CH3,CCC(C)C,tert-RO2*,$33.60,60.00,1.50,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C(CH3)4,CC(C)(C)C,RO2*,$49.40,68.30,1.40,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C(CH3)4,CC(C)(C)C,sec-RO2*,$52.90,70.30,0.80,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C(CH3)4,CC(C)(C)C,tert-RO2*,$59.80,74.10,0.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C5H10,C1CCCC1,RO2*,$26.40,56.40,4.30,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C5H10,C1CCCC1,sec-RO2*,$29.90,58.10,25.90,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C5H10,C1CCCC1,tert-RO2*,$36.80,61.60,9.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C6H12,C1CCCCC1,RO2*,$30.60,58.50,27.50,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C6H12,C1CCCCC1,sec-RO2*,$34.10,60.20,16.50,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C6H12,C1CCCCC1,tert-RO2*,$41.00,63.80,5.60,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C6H11CH3,CC1CCCCC1,RO2*,$30.30,53.40,130.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C6H11CH3,CC1CCCCC1,sec-RO2*,$23.80,55.10,76.60,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C6H11CH3,CC1CCCCC1,tert-RO2*,$30.70,58.50,27.50,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH2=CHCH3,C=CC,RO2*,-$5.80,54.70,2.20,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH2=CHCH3,C=CC,sec-RO2*,-$2.30,56.20,1.40,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH2=CHCH3,C=CC,tert-RO2*,$4.60,59.30,0.50,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cis-CH3CH=CHCH3,C/C=C\C,RO2*,-$18.00,49.50,21.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cis-CH3CH=CHCH3,C/C=C\C,sec-RO2*,-$14.50,51.00,13.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cis-CH3CH=CHCH3,C/C=C\C,tert-RO2*,-$7.60,53.90,27.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
trans-CH3CH=CHCH3,C/C=C/C,RO2*,-$16.40,50.20,17.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
trans-CH3CH=CHCH3,C/C=C/C,sec-RO2*,-$12.90,51.60,11.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
trans-CH3CH=CHCH3,C/C=C/C,tert-RO2*,-$6.00,54.60,2.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH2=CHCH2CH3,C=CCC,RO2*,-$28.90,45.10,26.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH2=CHCH2CH3,C=CCC,sec-RO2*,-$24.70,46.80,15.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH2=CHCH2CH3,C=CCC,tert-RO2*,-$17.80,49.60,6.70,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH2=CHCH(CH3)2,C=CC(C)C,RO2*,-$33.60,43.20,23.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH2=CHCH(CH3)2,C=CC(C)C,sec-RO2*,-$30.10,44.60,15.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH2=CHCH(CH3)2,C=CC(C)C,tert-RO2*,-$23.20,47.40,6.50,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH3CH=C(CH3)2,CC=C(C)C,RO2*,-$20.80,48.30,30.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH3CH=C(CH3)2,CC=C(C)C,sec-RO2*,-$17.30,49.80,19.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
CH3CH=C(CH3)2,CC=C(C)C,tert-RO2*,-$10.40,52.70,7.90,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(CH3)2C=C(CH3)2,CC(C)=C(C)C,RO2*,-$20.30,48.60,54.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(CH3)2C=C(CH3)2,CC(C)=C(C)C,sec-RO2*,-$16.80,50.10,34.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(CH3)2C=C(CH3)2,CC(C)=C(C)C,tert-RO2*,-$9.90,52.90,15.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C5H8,C1=CCCC1,RO2*,-$30.80,44.30,660.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C5H8,C1=CCCC1,sec-RO2*,-$27.30,45.70,430.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C5H8,C1=CCCC1,tert-RO2*,-$20.40,48.50,190.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C6H10,C1=CCCCC1,sec-RO2*,-$28.20,45.40,470.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C6H10,C1=CCCCC1,tert-RO2*,-$21.30,48.10,210.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
cyclo-C6H10,C1=CCCCC1,RO2*,-$31.70,44.00,720.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
Cyclopentadiene,C1=CCC=C1,RO2*,-$71.80,29.40,29000.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
Cyclopentadiene,C1=CCC=C1,sec-RO2*,-$68.30,30.60,20000.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
Cyclopentadiene,C1=CCC=C1,tert-RO2*,-$61.40,33.00,9800.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
"1,3-Cyclohexadiene",C1=CCCC=C1,RO2*,-$63.60,32.20,25000.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
"1,3-Cyclohexadiene",C1=CCCC=C1,sec-RO2*,-$60.10,33.40,17000.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
"1,3-Cyclohexadiene",C1=CCCC=C1,tert-RO2*,-$53.20,35.90,8200.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH3,Cc1ccccc1,RO2*,-$0.80,48.10,16.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH3,Cc1ccccc1,sec-RO2*,$2.70,49.70,9.70,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH3,Cc1ccccc1,tert-RO2*,$9.60,52.80,3.80,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
2-CH3C6H5CH3,Cc1ccccc1C,RO2*,$1.90,49.30,22.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
2-CH3C6H5CH3,Cc1ccccc1C,sec-RO2*,$5.40,50.70,14.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
2-CH3C6H5CH3,Cc1ccccc1C,tert-RO2*,$12.30,53.90,5.50,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CH3C6H4CH3,Cc1ccc(C)cc1,RO2*,-$3.60,46.80,46.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CH3C6H4CH3,Cc1ccc(C)cc1,sec-RO2*,-$0.10,48.30,30.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CH3C6H4CH3,Cc1ccc(C)cc1,tert-RO2*,$6.80,51.40,12.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CH3OC6H4CH3,COc1ccc(C)cc1,RO2*,-$3.80,46.70,24.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CH3OC6H4CH3,COc1ccc(C)cc1,sec-RO2*,-$0.30,48.20,15.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CH3OC6H4CH3,COc1ccc(C)cc1,tert-RO2*,$6.60,51.30,6.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-(CH3)3CC6H4CH3,Cc1ccc(C(C)(C)C)cc1,RO2*,-$1.90,47.50,19.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-(CH3)3CC6H4CH3,Cc1ccc(C(C)(C)C)cc1,sec-RO2*,$1.60,49.00,12.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-(CH3)3CC6H4CH3,Cc1ccc(C(C)(C)C)cc1,tert-RO2*,$8.50,52.20,4.60,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-ClC6H4CH3,Cc1ccc(Cl)cc1,RO2*,-$1.70,47.60,18.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-ClC6H4CH3,Cc1ccc(Cl)cc1,sec-RO2*,$1.80,49.10,12.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-ClC6H4CH3,Cc1ccc(Cl)cc1,tert-RO2*,$8.70,52.20,4.60,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CNC6H4CH3,Cc1ccc(C#N)cc1,RO2*,-$7.10,45.20,38.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CNC6H4CH3,Cc1ccc(C#N)cc1,sec-RO2*,-$3.60,46.80,23.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-CNC6H4CH3,Cc1ccc(C#N)cc1,tert-RO2*,$3.30,49.80,9.40,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-NO2C6H4CH3,Cc1ccc([N+](=O)[O-])cc1,RO2*,$0.50,48.60,14.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-NO2C6H4CH3,Cc1ccc([N+](=O)[O-])cc1,sec-RO2*,$4.00,50.10,8.60,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
4-NO2C6H4CH3,Cc1ccc([N+](=O)[O-])cc1,tert-RO2*,$10.90,53.30,3.30,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH3,CCc1ccccc1,RO2*,-$12.00,43.10,47.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH3,CCc1ccccc1,sec-RO2*,-$8.50,44.60,30.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH3,CCc1ccccc1,tert-RO2*,-$1.60,47.60,12.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH(CH3)2,CC(C)c1ccccc1,RO2*,-$18.40,40.40,53.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH(CH3)2,CC(C)c1ccccc1,sec-RO2*,-$14.90,41.90,34.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH(CH3)2,CC(C)c1ccccc1,tert-RO2*,-$8.00,44.80,14.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)2CH2,c1ccc(Cc2ccccc2)cc1,RO2*,-$19.00,40.20,110.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)2CH2,c1ccc(Cc2ccccc2)cc1,sec-RO2*,-$15.50,41.70,72.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)2CH2,c1ccc(Cc2ccccc2)cc1,tert-RO2*,-$8.60,44.60,30.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)2CHCH3,CC(c1ccccc1)c1ccccc1,RO2*,-$24.80,37.80,120.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)2CHCH3,CC(c1ccccc1)c1ccccc1,sec-RO2*,-$21.30,39.20,76.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)2CHCH3,CC(c1ccccc1)c1ccccc1,tert-RO2*,-$14.40,42.10,32.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH2C6H5,c1ccc(CCc2ccccc2)cc1,RO2*,-$12.80,42.80,100.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH2C6H5,c1ccc(CCc2ccccc2)cc1,sec-RO2*,-$9.30,44.30,66.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH2C6H5,c1ccc(CCc2ccccc2)cc1,tert-RO2*,-$2.40,47.30,27.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)3CH,c1ccc(C(c2ccccc2)c2ccccc2)cc1,RO2*,-$26.20,37.30,130.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)3CH,c1ccc(C(c2ccccc2)c2ccccc2)cc1,sec-RO2*,-$22.70,38.70,88.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
(C6H5)3CH,c1ccc(C(c2ccccc2)c2ccccc2)cc1,tert-RO2*,-$15.80,41.50,38.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
C6H5CH2CH=CH2,C=CCc1ccccc1,RO2*,-$26.40,37.20,280.00,400.00,,Hydrocarbon,Hydrogen Abstraction,,,2.1 Table
